impacto_presupuestario_mes,finalidad_id,finalidad_desc,funcion_id,funcion_desc,credito_comprometido,credito_devengado,credito_pagado,anio,periodo,mes_completo,ipc,credito_comprometido_real_agosto2026,credito_devengado_real_agosto2026,credito_pagado_real_agosto2026
5,2,SERVICIOS DE DEFENSA Y SEGURIDAD,3,Sistema Penal,15873.66778518,38203.35691975,34118.62179052,2025,2025-05,True,8714.4871,22362.45262907,53819.99742914,48065.51793102
5,2,SERVICIOS DE DEFENSA Y SEGURIDAD,4,Inteligencia,16989.52851219,27269.44149058,30310.57701991,2025,2025-05,True,8714.4871,23934.45117321,38416.55260819,42700.83335121
5,3,SERVICIOS SOCIALES,1,Salud,502623.71171979,558038.21994658,505287.5070357,2025,2025-05,True,8714.4871,708084.55208286,786151.21770514,711837.24474165
5,3,SERVICIOS SOCIALES,2,Promoción y Asistencia Social,318557.34120329,327304.90778186,445737.87773718,2025,2025-05,True,8714.4871,448776.14604937,461099.51364659,627945.11708164
5,3,SERVICIOS SOCIALES,3,Seguridad Social,5082147.34560437,5072578.92846552,4958593.68485773,2025,2025-05,True,8714.4871,7159610.54546813,7146130.7827631,6985551.03238102
5,3,SERVICIOS SOCIALES,4,Educación y Cultura,523240.37079211,520536.26847995,476582.0763503,2025,2025-05,True,8714.4871,737128.82011931,733319.34390511,671397.70407679
5,3,SERVICIOS SOCIALES,5,"Ciencia, Tecnología e Innovación",104608.53168056,113721.84014962,118946.13614711,2025,2025-05,True,8714.4871,147370.05750411,160208.67373896,167568.53998696
5,3,SERVICIOS SOCIALES,6,Trabajo,81806.24736531,93237.09865614,90516.72576514,2025,2025-05,True,8714.4871,115246.73164552,131350.24810816,127517.8502823
5,3,SERVICIOS SOCIALES,7,Vivienda y Urbanismo,1295.34989856,1329.11795211,1359.00493698,2025,2025-05,True,8714.4871,1824.85869911,1872.43034469,1914.53443131
5,3,SERVICIOS SOCIALES,8,Agua Potable y Alcantarillado,9787.40857683,3935.16240015,2475.94225169,2025,2025-05,True,8714.4871,13788.27273083,5543.76492894,3488.04964707
5,4,SERVICIOS ECONOMICOS,1,"Energía, Combustibles y Minería",38248.49944813,470097.82814839,461071.71332857,2025,2025-05,True,8714.4871,53883.59316934,662262.84657487,649547.06671767
5,4,SERVICIOS ECONOMICOS,2,Comunicaciones,9836.41142369,9558.46761367,9326.1142247,2025,2025-05,True,8714.4871,13857.30679759,13465.74604621,13138.41201577
5,4,SERVICIOS ECONOMICOS,3,Transporte,180042.08788387,189773.29206776,203389.07306587,2025,2025-05,True,8714.4871,253639.09060141,267348.18389548,286529.77832586
5,4,SERVICIOS ECONOMICOS,4,Ecología y Desarrollo Sostenible,5314.91082683,7409.60938332,11592.07298557,2025,2025-05,True,8714.4871,7487.52230431,10438.48473313,16330.64182271
5,4,SERVICIOS ECONOMICOS,5,"Agricultura, Ganadería y Pesca",21907.84730933,23670.60628174,31212.85092099,2025,2025-05,True,8714.4871,30863.26388393,33346.59757532,43971.93576084
